Time,Hive,Treatment,Dandelion,
1,1,Syrup,236,
2,1,Syrup,167,
3,1,Syrup,227,
4,1,Syrup,225,
1,2,Syrup,306,
2,2,Syrup,308,
3,2,Syrup,241,
4,2,Syrup,304,
1,3,Syrup,36,
2,3,Syrup,10,
3,3,Syrup,2,
4,3,Syrup,19,
1,4,Syrup,249,
2,4,Syrup,208,
3,4,Syrup,66,
4,4,Syrup,43,
1,5,Syrup,139,
2,5,Syrup,145,
3,5,Syrup,146,
4,5,Syrup,110,
1,6,Protein,347,
2,6,Protein,140,
3,6,Protein,153,
4,6,Protein,38,
1,7,Protein,129,
2,7,Protein,43,
3,7,Protein,42,
4,7,Protein,39,
1,8,Protein,35,
2,8,Protein,89,
3,8,Protein,100,
4,8,Protein,27,
1,9,Protein,111,
2,9,Protein,87,
3,9,Protein,48,
4,9,Protein,25,
1,10,Protein,98,
2,10,Protein,76,
3,10,Protein,27,
4,10,Protein,59,
1,11,Control,32,
2,11,Control,50,
3,11,Control,9,
4,11,Control,31,
1,12,Control,13,
2,12,Control,1,
3,12,Control,0,
4,12,Control,6,
1,13,Control,230,
2,13,Control,222,
3,13,Control,227,
4,13,Control,225,
1,14,Control,31,
2,14,Control,51,
3,14,Control,11,
4,14,Control,29,
1,15,Control,11,
2,15,Control,2,
3,15,Control,1,
4,15,Control,7,
